Cn,#C,#iso,E(6-311G*)(Har),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),dipole-X(D),dipole-Y(D),dipole-Z(D),dipole-Tot(D),E(gas)(Har),E(water)(Har),E(dichlorobenzene)(Har),E_binding(eV),E_atomization(eV),Gsol(water)(kJ/mol),Gsol(dichlorobenzene)(kJ/mol),DDGsol(kJ/mol),logP(dichlorobenzene)
c70,70,6496,-2667.6596217,-5.65969,-4.62974,1.02995,0.1124,-0.2915,-0.0676,0.3197,-2667.6596217,-2667.67898856,-2667.72865557,-6.896307253209989,-482.742,-50.84769092997635,-181.2484256841003,-130.40073475412396,22.831498668308512
c70,70,6713,-2667.69953359,-5.71521,-4.37124,1.34397,-0.3151,0.459,0.4131,0.6932,-2667.69953359,-2667.71863852,-2667.76834464,-6.91182236185721,-483.828,-50.159993714172515,-180.66341177505797,-130.50341806088545,22.849477200300704
c70,70,6807,-2667.49050308,-5.41153,-4.34321,1.06832,0.0,1.1303,0.0,1.1303,-2667.49050308,-2667.51067093,-2667.56012963,-6.8305650955829895,-478.14,-52.95069017442165,-182.8045070251742,-129.85381685075254,22.735740347574787
c70,70,6894,-2667.66560671,-5.69888,-4.59165,1.10723,-0.3921,0.5012,-0.5489,0.8404,-2667.66560671,-2667.68514864,-2667.73473451,-6.898633830087187,-482.904,-51.30733721575302,-181.49503890101778,-130.18770168526476,22.79419930617581
c70,70,6914,-2667.67370608,-5.61969,-4.58512,1.03458,1.234,-0.3714,0.1781,1.3009,-2667.67370608,-2667.69393878,-2667.74328788,-6.901782330584987,-483.125,-53.12095384927534,-182.68701589979923,-129.5660620505239,22.685358167208953
c70,70,6988,-2667.64491843,-5.6831,-4.63655,1.04655,1.0406,-0.3505,-0.2755,1.1321,-2667.64491843,-2667.66483185,-2667.71425417,-6.890591592249782,-482.341,-52.28268421050825,-182.040985370111,-129.75830115960275,22.719016773283577
c70,70,7145,-2667.71590095,-5.85943,-4.26293,1.59649,0.1906,-0.388,-0.0103,0.4324,-2667.71590095,-2667.73510572,-2667.78473894,-6.918184911179485,-484.273,-50.42212363437034,-180.73414274445554,-130.3120191100852,22.815965695181113
c70,70,7185,-2667.68153808,-5.60745,-4.44144,1.16601,0.249,-0.3224,0.766,0.8675,-2667.68153808,-2667.70107188,-2667.75065235,-6.904826895272906,-483.338,-51.28599190083378,-181.45951588559706,-130.17352398476328,22.791716972385824
c70,70,7270,-2667.62185186,-5.86569,-4.5062,1.35948,-0.3564,1.0104,-0.1169,1.0777,-2667.62185186,-2667.64143599,-2667.69109202,-6.881624832227381,-481.714,-51.4181333152942,-181.79004007983121,-130.37190676453702,22.826451256519725
c70,70,7413,-2667.70193117,-5.76473,-4.41178,1.35295,-0.4882,-0.661,0.3256,0.8839,-2667.70193117,-2667.7212808,-2667.77089761,-6.9127543827209275,-483.893,-50.802453564610005,-181.07138821924582,-130.2689346546358,22.80842215879635
c70,70,7445,-2667.67280672,-5.51792,-4.61886,0.899064,0.9753,0.471,1.3158,1.7043,-2667.67280672,-2667.69292107,-2667.74235577,-6.901432718774628,-483.1,-52.81022592462705,-182.60103077434474,-129.7908048497177,22.72470775316167
c70,70,7684,-2667.7024578,-5.5435,-4.63981,0.90369,1.7895,-1.2544,0.0699,2.1865,-2667.7024578,-2667.72271892,-2667.77208602,-6.912959101707423,-483.907,-53.195570559367525,-182.80889161036907,-129.61332105100155,22.69363261296653
c70,70,7763,-2667.66115524,-5.65643,-4.76471,0.891717,0.453,0.0677,-0.4715,0.6573,-2667.66115524,-2667.68103316,-2667.73058187,-6.896903392348315,-482.783,-52.18947895999736,-182.27961706547262,-130.09013810547526,22.777117172810232
c70,70,7766,-2667.75909098,-5.75004,-4.75737,0.992671,-0.3971,-0.0979,-0.1433,0.4333,-2667.75909098,-2667.77840033,-2667.82799524,-6.934974344301639,-485.448,-50.69669842429198,-180.9081346292819,-130.21143620498992,22.798354916621715
c70,70,7779,-2667.74054922,-5.80174,-4.4877,1.31404,-0.3956,0.258,-0.0461,0.4745,-2667.74054922,-2667.75968581,-2667.80936513,-6.927766531769653,-484.944,-50.243117045043164,-180.67617170503172,-130.43305465998856,22.83715746991802
c70,70,7829,-2667.75959976,-5.70568,-4.61995,1.08573,-0.0,0.0,-0.2726,0.2726,-2667.75959976,-2667.77861925,-2667.82831287,-6.935172124386145,-485.462,-49.93567099411803,-180.4062703046386,-130.47059931052058,22.84373105740769
c70,70,7864,-2667.73589863,-5.76745,-4.78947,0.977977,0.1651,-0.3363,0.2869,0.4719,-2667.73589863,-2667.75521795,-2667.80489366,-6.925958689316567,-484.817,-50.722874659461695,-181.1464512643936,-130.4235766049319,22.835497983859046
c70,70,8045,-2667.7397195,-5.6665,-4.80118,0.865322,0.2188,0.1653,0.2135,0.3476,-2667.7397195,-2667.75904809,-2667.8087488,-6.927443991395141,-484.921,-50.74721304496438,-181.236427150626,-130.48921410566163,22.84699026964507
